0,0,0,0,0.002,0.004,0.004,0.006,0.006,0.012,0.014,0.018,0.02,0.03,0.04,0.054,0.074,0.082,0.104,0.116,0.166,0.19,0.226,0.264,0.316,0.37,0.42,0.482,0.534,0.592,0.668,0.718,0.772,0.8,0.844,0.878,0.908,0.922,0.934,0.944,0.95
0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.01,0.012,0.016,0.018,0.026,0.034,0.048,0.066,0.08,0.096,0.11,0.144,0.186,0.206,0.258,0.296,0.356,0.408,0.472,0.524,0.572,0.648,0.704,0.764,0.798,0.824,0.874,0.902,0.922,0.934,0.944,0.948
0,0,0,0,0.002,0.002,0.004,0.004,0.006,0.006,0.01,0.014,0.018,0.024,0.03,0.04,0.058,0.074,0.092,0.106,0.132,0.182,0.196,0.238,0.286,0.336,0.394,0.448,0.51,0.564,0.632,0.688,0.756,0.79,0.816,0.862,0.892,0.912,0.932,0.942,0.946
0,0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.01,0.012,0.016,0.022,0.028,0.036,0.054,0.07,0.086,0.104,0.122,0.168,0.188,0.23,0.274,0.33,0.382,0.428,0.488,0.55,0.616,0.676,0.732,0.784,0.808,0.85,0.892,0.908,0.928,0.936,0.946
0,0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.008,0.01,0.014,0.018,0.026,0.032,0.044,0.066,0.08,0.1,0.11,0.154,0.182,0.218,0.254,0.312,0.37,0.418,0.478,0.528,0.602,0.67,0.72,0.77,0.804,0.84,0.878,0.908,0.926,0.936,0.944
0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.01,0.012,0.016,0.024,0.03,0.036,0.062,0.074,0.096,0.108,0.13,0.178,0.206,0.242,0.288,0.35,0.406,0.46,0.512,0.582,0.65,0.7,0.75,0.79,0.83,0.868,0.904,0.92,0.932,0.94
0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.01,0.01,0.014,0.018,0.028,0.034,0.048,0.07,0.086,0.106,0.126,0.168,0.19,0.232,0.274,0.33,0.39,0.444,0.508,0.57,0.634,0.692,0.742,0.78,0.818,0.856,0.894,0.914,0.93,0.936
0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.01,0.012,0.018,0.024,0.034,0.04,0.06,0.082,0.098,0.118,0.152,0.186,0.222,0.26,0.31,0.378,0.432,0.494,0.552,0.614,0.68,0.728,0.766,0.806,0.844,0.882,0.912,0.93,0.934
0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.01,0.01,0.016,0.022,0.03,0.034,0.052,0.072,0.092,0.11,0.14,0.178,0.212,0.244,0.298,0.356,0.42,0.474,0.534,0.588,0.67,0.706,0.754,0.798,0.836,0.868,0.904,0.924,0.932
0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.008,0.01,0.014,0.02,0.024,0.034,0.046,0.066,0.088,0.106,0.13,0.164,0.204,0.238,0.28,0.334,0.396,0.46,0.522,0.576,0.654,0.7,0.744,0.784,0.83,0.86,0.894,0.918,0.93
0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.004,0.01,0.014,0.014,0.022,0.034,0.038,0.052,0.078,0.1,0.116,0.158,0.186,0.22,0.26,0.32,0.376,0.446,0.508,0.56,0.622,0.686,0.732,0.762,0.818,0.848,0.884,0.91,0.928
0,0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.008,0.012,0.014,0.02,0.028,0.034,0.05,0.07,0.092,0.114,0.15,0.176,0.216,0.246,0.3,0.358,0.426,0.49,0.55,0.608,0.674,0.722,0.75,0.804,0.84,0.87,0.896,0.922
0,0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.006,0.012,0.014,0.016,0.024,0.032,0.042,0.062,0.082,0.11,0.136,0.166,0.2,0.236,0.284,0.344,0.408,0.468,0.53,0.59,0.652,0.702,0.74,0.776,0.83,0.858,0.894,0.914
0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.01,0.012,0.014,0.018,0.028,0.036,0.054,0.076,0.094,0.124,0.16,0.192,0.222,0.266,0.314,0.386,0.442,0.518,0.574,0.634,0.686,0.734,0.762,0.818,0.852,0.88,0.908
0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.008,0.012,0.014,0.018,0.028,0.032,0.048,0.066,0.084,0.122,0.15,0.176,0.204,0.252,0.306,0.366,0.424,0.498,0.556,0.63,0.674,0.718,0.748,0.796,0.838,0.866,0.894
0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.004,0.006,0.01,0.014,0.016,0.024,0.03,0.04,0.06,0.078,0.112,0.138,0.17,0.2,0.238,0.286,0.344,0.414,0.466,0.54,0.604,0.66,0.704,0.73,0.772,0.832,0.858,0.884
0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.004,0.008,0.012,0.014,0.018,0.026,0.038,0.05,0.07,0.094,0.132,0.162,0.188,0.22,0.268,0.322,0.4,0.44,0.514,0.58,0.64,0.69,0.724,0.764,0.81,0.848,0.874
0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.004,0.006,0.01,0.014,0.016,0.026,0.03,0.048,0.062,0.082,0.116,0.148,0.182,0.208,0.246,0.304,0.364,0.434,0.494,0.562,0.624,0.674,0.714,0.744,0.79,0.83,0.864
